#    <A>=  0.151781  sigmaA= 0.000463
#    <B>=-16.249083  sigmaB= 0.021184
#  rhoAB= -0.375325
#    a39=  0.000429     b39=  0.021185
#    a95=  0.001050     b95=  0.051850
#  tht39=  0.469910   tht95=  0.469910
#
#       A39       B39         A95       B95
     0.152209 -16.249079   0.152830 -16.249074
     0.152207 -16.248813   0.152825 -16.248422
     0.152205 -16.248547   0.152819 -16.247771
     0.152203 -16.248281   0.152814 -16.247120
     0.152200 -16.248015   0.152808 -16.246469
     0.152198 -16.247749   0.152802 -16.245818
     0.152195 -16.247483   0.152795 -16.245168
     0.152193 -16.247218   0.152789 -16.244519
     0.152190 -16.246953   0.152782 -16.243870
     0.152187 -16.246688   0.152776 -16.243223
     0.152184 -16.246424   0.152769 -16.242576
     0.152181 -16.246160   0.152762 -16.241930
     0.152179 -16.245897   0.152754 -16.241285
     0.152176 -16.245634   0.152747 -16.240642
     0.152172 -16.245371   0.152740 -16.239999
     0.152169 -16.245110   0.152732 -16.239359
     0.152166 -16.244848   0.152724 -16.238720
     0.152163 -16.244588   0.152716 -16.238082
     0.152160 -16.244328   0.152708 -16.237446
     0.152156 -16.244069   0.152700 -16.236812
     0.152153 -16.243811   0.152692 -16.236180
     0.152149 -16.243553   0.152683 -16.235550
     0.152146 -16.243297   0.152674 -16.234922
     0.152142 -16.243041   0.152666 -16.234297
     0.152139 -16.242787   0.152657 -16.233673
     0.152135 -16.242533   0.152647 -16.233052
     0.152131 -16.242280   0.152638 -16.232434
     0.152127 -16.242029   0.152629 -16.231818
     0.152123 -16.241778   0.152619 -16.231205
     0.152119 -16.241529   0.152610 -16.230595
     0.152115 -16.241281   0.152600 -16.229988
     0.152111 -16.241034   0.152590 -16.229384
     0.152107 -16.240788   0.152580 -16.228783
     0.152103 -16.240544   0.152570 -16.228185
     0.152099 -16.240301   0.152560 -16.227590
     0.152095 -16.240060   0.152549 -16.226999
     0.152090 -16.239819   0.152539 -16.226411
     0.152086 -16.239581   0.152528 -16.225827
     0.152082 -16.239344   0.152517 -16.225246
     0.152077 -16.239108   0.152507 -16.224670
     0.152073 -16.238874   0.152496 -16.224097
     0.152068 -16.238641   0.152484 -16.223528
     0.152064 -16.238411   0.152473 -16.222963
     0.152059 -16.238182   0.152462 -16.222402
     0.152054 -16.237954   0.152451 -16.221846
     0.152050 -16.237729   0.152439 -16.221294
     0.152045 -16.237505   0.152427 -16.220746
     0.152040 -16.237283   0.152416 -16.220202
     0.152035 -16.237063   0.152404 -16.219664
     0.152030 -16.236844   0.152392 -16.219129
     0.152025 -16.236628   0.152380 -16.218600
     0.152020 -16.236414   0.152368 -16.218075
     0.152016 -16.236201   0.152356 -16.217556
     0.152010 -16.235991   0.152343 -16.217041
     0.152005 -16.235783   0.152331 -16.216531
     0.152000 -16.235577   0.152318 -16.216027
     0.151995 -16.235373   0.152306 -16.215527
     0.151990 -16.235171   0.152293 -16.215033
     0.151985 -16.234971   0.152280 -16.214545
     0.151980 -16.234774   0.152268 -16.214061
     0.151974 -16.234578   0.152255 -16.213584
     0.151969 -16.234386   0.152242 -16.213112
     0.151964 -16.234195   0.152229 -16.212645
     0.151958 -16.234007   0.152216 -16.212185
     0.151953 -16.233821   0.152202 -16.211730
     0.151948 -16.233638   0.152189 -16.211281
     0.151942 -16.233457   0.152176 -16.210838
     0.151937 -16.233278   0.152162 -16.210401
     0.151931 -16.233102   0.152149 -16.209970
     0.151926 -16.232929   0.152136 -16.209546
     0.151920 -16.232758   0.152122 -16.209127
     0.151915 -16.232589   0.152108 -16.208715
     0.151909 -16.232424   0.152095 -16.208310
     0.151903 -16.232260   0.152081 -16.207910
     0.151898 -16.232100   0.152067 -16.207518
     0.151892 -16.231942   0.152054 -16.207131
     0.151886 -16.231787   0.152040 -16.206752
     0.151881 -16.231635   0.152026 -16.206379
     0.151875 -16.231485   0.152012 -16.206013
     0.151869 -16.231338   0.151998 -16.205653
     0.151864 -16.231194   0.151984 -16.205301
     0.151858 -16.231053   0.151970 -16.204955
     0.151852 -16.230915   0.151956 -16.204617
     0.151846 -16.230779   0.151942 -16.204285
     0.151841 -16.230647   0.151928 -16.203961
     0.151835 -16.230517   0.151914 -16.203643
     0.151829 -16.230390   0.151900 -16.203333
     0.151823 -16.230267   0.151885 -16.203030
     0.151818 -16.230146   0.151871 -16.202735
     0.151812 -16.230028   0.151857 -16.202446
     0.151806 -16.229913   0.151843 -16.202165
     0.151800 -16.229801   0.151829 -16.201892
     0.151794 -16.229693   0.151814 -16.201625
     0.151789 -16.229587   0.151800 -16.201367
     0.151783 -16.229484   0.151786 -16.201116
     0.151777 -16.229385   0.151772 -16.200872
     0.151771 -16.229288   0.151757 -16.200636
     0.151765 -16.229195   0.151743 -16.200408
     0.151760 -16.229105   0.151729 -16.200187
     0.151754 -16.229018   0.151715 -16.199974
     0.151748 -16.228934   0.151701 -16.199769
     0.151742 -16.228853   0.151686 -16.199572
     0.151736 -16.228776   0.151672 -16.199382
     0.151731 -16.228702   0.151658 -16.199201
     0.151725 -16.228631   0.151644 -16.199027
     0.151719 -16.228563   0.151630 -16.198861
     0.151713 -16.228499   0.151616 -16.198703
     0.151707 -16.228437   0.151602 -16.198553
     0.151702 -16.228379   0.151588 -16.198411
     0.151696 -16.228324   0.151574 -16.198277
     0.151690 -16.228273   0.151560 -16.198151
     0.151685 -16.228225   0.151546 -16.198033
     0.151679 -16.228180   0.151532 -16.197923
     0.151673 -16.228138   0.151518 -16.197821
     0.151668 -16.228100   0.151504 -16.197728
     0.151662 -16.228065   0.151490 -16.197642
     0.151656 -16.228033   0.151477 -16.197565
     0.151651 -16.228005   0.151463 -16.197495
     0.151645 -16.227980   0.151449 -16.197434
     0.151640 -16.227958   0.151436 -16.197381
     0.151634 -16.227940   0.151422 -16.197336
     0.151629 -16.227925   0.151409 -16.197299
     0.151623 -16.227913   0.151395 -16.197271
     0.151618 -16.227905   0.151382 -16.197250
     0.151612 -16.227900   0.151369 -16.197238
     0.151607 -16.227898   0.151355 -16.197234
     0.151601 -16.227900   0.151342 -16.197238
     0.151596 -16.227905   0.151329 -16.197251
     0.151591 -16.227914   0.151316 -16.197271
     0.151586 -16.227925   0.151303 -16.197300
     0.151580 -16.227940   0.151290 -16.197337
     0.151575 -16.227959   0.151278 -16.197382
     0.151570 -16.227981   0.151265 -16.197436
     0.151565 -16.228006   0.151252 -16.197497
     0.151560 -16.228034   0.151240 -16.197567
     0.151554 -16.228066   0.151227 -16.197644
     0.151549 -16.228101   0.151215 -16.197730
     0.151544 -16.228139   0.151203 -16.197824
     0.151539 -16.228181   0.151190 -16.197926
     0.151534 -16.228226   0.151178 -16.198036
     0.151530 -16.228274   0.151166 -16.198154
     0.151525 -16.228326   0.151154 -16.198280
     0.151520 -16.228381   0.151142 -16.198415
     0.151515 -16.228439   0.151131 -16.198557
     0.151510 -16.228500   0.151119 -16.198707
     0.151506 -16.228565   0.151108 -16.198865
     0.151501 -16.228633   0.151096 -16.199031
     0.151496 -16.228704   0.151085 -16.199205
     0.151492 -16.228778   0.151074 -16.199387
     0.151487 -16.228856   0.151063 -16.199577
     0.151483 -16.228936   0.151052 -16.199775
     0.151478 -16.229020   0.151041 -16.199980
     0.151474 -16.229107   0.151030 -16.200193
     0.151470 -16.229197   0.151020 -16.200414
     0.151465 -16.229291   0.151009 -16.200642
     0.151461 -16.229387   0.150999 -16.200878
     0.151457 -16.229487   0.150989 -16.201122
     0.151453 -16.229590   0.150978 -16.201374
     0.151449 -16.229695   0.150968 -16.201632
     0.151445 -16.229804   0.150959 -16.201899
     0.151441 -16.229916   0.150949 -16.202173
     0.151437 -16.230031   0.150939 -16.202454
     0.151433 -16.230149   0.150930 -16.202742
     0.151429 -16.230270   0.150921 -16.203038
     0.151425 -16.230394   0.150911 -16.203341
     0.151422 -16.230520   0.150902 -16.203652
     0.151418 -16.230650   0.150893 -16.203969
     0.151415 -16.230783   0.150885 -16.204294
     0.151411 -16.230918   0.150876 -16.204626
     0.151408 -16.231057   0.150867 -16.204964
     0.151404 -16.231198   0.150859 -16.205310
     0.151401 -16.231342   0.150851 -16.205663
     0.151397 -16.231489   0.150843 -16.206022
     0.151394 -16.231639   0.150835 -16.206389
     0.151391 -16.231791   0.150827 -16.206762
     0.151388 -16.231946   0.150820 -16.207141
     0.151385 -16.232104   0.150812 -16.207528
     0.151382 -16.232265   0.150805 -16.207921
     0.151379 -16.232428   0.150798 -16.208320
     0.151376 -16.232594   0.150791 -16.208726
     0.151373 -16.232762   0.150784 -16.209138
     0.151371 -16.232933   0.150777 -16.209557
     0.151368 -16.233107   0.150771 -16.209982
     0.151365 -16.233283   0.150764 -16.210413
     0.151363 -16.233461   0.150758 -16.210850
     0.151360 -16.233642   0.150752 -16.211293
     0.151358 -16.233826   0.150746 -16.211742
     0.151356 -16.234012   0.150740 -16.212197
     0.151353 -16.234200   0.150735 -16.212658
     0.151351 -16.234391   0.150730 -16.213124
     0.151349 -16.234584   0.150724 -16.213596
     0.151347 -16.234779   0.150719 -16.214074
