#    <A>=  0.153177  sigmaA= 0.000483
#    <B>=-16.230694  sigmaB= 0.020037
#  rhoAB= -0.290333
#    a39=  0.000462     b39=  0.020038
#    a95=  0.001130     b95=  0.049042
#  tht39=  0.400918   tht95=  0.400918
#
#       A39       B39         A95       B95
     0.152992 -16.210758   0.152722 -16.181902
     0.152986 -16.210785   0.152709 -16.181967
     0.152980 -16.210815   0.152695 -16.182041
     0.152975 -16.210849   0.152682 -16.182122
     0.152969 -16.210885   0.152668 -16.182211
     0.152964 -16.210924   0.152655 -16.182307
     0.152958 -16.210967   0.152642 -16.182412
     0.152953 -16.211012   0.152628 -16.182523
     0.152948 -16.211061   0.152615 -16.182643
     0.152942 -16.211113   0.152602 -16.182770
     0.152937 -16.211168   0.152589 -16.182904
     0.152932 -16.211226   0.152577 -16.183046
     0.152927 -16.211287   0.152564 -16.183196
     0.152922 -16.211351   0.152551 -16.183353
     0.152916 -16.211419   0.152539 -16.183518
     0.152911 -16.211489   0.152526 -16.183690
     0.152906 -16.211562   0.152514 -16.183869
     0.152901 -16.211639   0.152502 -16.184056
     0.152896 -16.211718   0.152490 -16.184250
     0.152891 -16.211800   0.152478 -16.184452
     0.152887 -16.211886   0.152466 -16.184660
     0.152882 -16.211974   0.152454 -16.184877
     0.152877 -16.212065   0.152442 -16.185100
     0.152872 -16.212159   0.152431 -16.185330
     0.152868 -16.212257   0.152419 -16.185568
     0.152863 -16.212357   0.152408 -16.185813
     0.152858 -16.212460   0.152397 -16.186065
     0.152854 -16.212565   0.152386 -16.186324
     0.152849 -16.212674   0.152375 -16.186590
     0.152845 -16.212786   0.152364 -16.186863
     0.152841 -16.212900   0.152353 -16.187143
     0.152836 -16.213017   0.152343 -16.187429
     0.152832 -16.213137   0.152332 -16.187723
     0.152828 -16.213260   0.152322 -16.188023
     0.152824 -16.213385   0.152312 -16.188330
     0.152820 -16.213513   0.152302 -16.188644
     0.152815 -16.213644   0.152292 -16.188965
     0.152812 -16.213778   0.152282 -16.189292
     0.152808 -16.213914   0.152272 -16.189625
     0.152804 -16.214053   0.152263 -16.189965
     0.152800 -16.214195   0.152254 -16.190312
     0.152796 -16.214339   0.152244 -16.190665
     0.152792 -16.214486   0.152235 -16.191024
     0.152789 -16.214635   0.152226 -16.191389
     0.152785 -16.214787   0.152218 -16.191761
     0.152782 -16.214941   0.152209 -16.192139
     0.152778 -16.215098   0.152201 -16.192523
     0.152775 -16.215257   0.152192 -16.192912
     0.152772 -16.215419   0.152184 -16.193308
     0.152768 -16.215583   0.152176 -16.193710
     0.152765 -16.215750   0.152169 -16.194118
     0.152762 -16.215919   0.152161 -16.194531
     0.152759 -16.216090   0.152153 -16.194950
     0.152756 -16.216263   0.152146 -16.195375
     0.152753 -16.216439   0.152139 -16.195805
     0.152750 -16.216617   0.152132 -16.196241
     0.152747 -16.216798   0.152125 -16.196682
     0.152745 -16.216980   0.152118 -16.197129
     0.152742 -16.217165   0.152112 -16.197581
     0.152739 -16.217352   0.152106 -16.198038
     0.152737 -16.217540   0.152099 -16.198501
     0.152735 -16.217731   0.152093 -16.198968
     0.152732 -16.217924   0.152088 -16.199440
     0.152730 -16.218120   0.152082 -16.199918
     0.152728 -16.218317   0.152077 -16.200400
     0.152725 -16.218516   0.152071 -16.200887
     0.152723 -16.218716   0.152066 -16.201379
     0.152721 -16.218919   0.152061 -16.201875
     0.152719 -16.219124   0.152056 -16.202376
     0.152717 -16.219330   0.152052 -16.202881
     0.152716 -16.219539   0.152047 -16.203391
     0.152714 -16.219749   0.152043 -16.203905
     0.152712 -16.219960   0.152039 -16.204423
     0.152711 -16.220174   0.152035 -16.204946
     0.152709 -16.220389   0.152031 -16.205472
     0.152708 -16.220606   0.152028 -16.206003
     0.152706 -16.220824   0.152025 -16.206537
     0.152705 -16.221044   0.152021 -16.207075
     0.152704 -16.221265   0.152019 -16.207617
     0.152703 -16.221488   0.152016 -16.208163
     0.152702 -16.221713   0.152013 -16.208712
     0.152701 -16.221938   0.152011 -16.209265
     0.152700 -16.222166   0.152008 -16.209821
     0.152699 -16.222394   0.152006 -16.210380
     0.152698 -16.222624   0.152005 -16.210942
     0.152697 -16.222855   0.152003 -16.211508
     0.152697 -16.223087   0.152001 -16.212077
     0.152696 -16.223321   0.152000 -16.212648
     0.152696 -16.223556   0.151999 -16.213223
     0.152695 -16.223792   0.151998 -16.213800
     0.152695 -16.224028   0.151997 -16.214380
     0.152695 -16.224266   0.151997 -16.214962
     0.152695 -16.224505   0.151996 -16.215547
     0.152695 -16.224745   0.151996 -16.216134
     0.152695 -16.224986   0.151996 -16.216724
     0.152695 -16.225228   0.151996 -16.217316
     0.152695 -16.225471   0.151997 -16.217910
     0.152695 -16.225714   0.151997 -16.218506
     0.152695 -16.225959   0.151998 -16.219104
     0.152696 -16.226204   0.151999 -16.219703
     0.152696 -16.226449   0.152000 -16.220305
     0.152697 -16.226696   0.152001 -16.220908
     0.152697 -16.226943   0.152003 -16.221513
     0.152698 -16.227190   0.152004 -16.222119
     0.152699 -16.227439   0.152006 -16.222726
     0.152700 -16.227687   0.152008 -16.223335
     0.152701 -16.227936   0.152010 -16.223945
     0.152702 -16.228186   0.152013 -16.224556
     0.152703 -16.228436   0.152015 -16.225167
     0.152704 -16.228686   0.152018 -16.225780
     0.152705 -16.228937   0.152021 -16.226394
     0.152706 -16.229188   0.152024 -16.227008
     0.152708 -16.229439   0.152028 -16.227623
     0.152709 -16.229691   0.152031 -16.228238
     0.152711 -16.229942   0.152035 -16.228854
     0.152712 -16.230194   0.152039 -16.229470
     0.152714 -16.230446   0.152043 -16.230086
     0.152716 -16.230697   0.152047 -16.230702
     0.152717 -16.230949   0.152051 -16.231318
     0.152719 -16.231201   0.152056 -16.231934
     0.152721 -16.231453   0.152061 -16.232550
     0.152723 -16.231704   0.152066 -16.233166
     0.152725 -16.231956   0.152071 -16.233781
     0.152727 -16.232207   0.152076 -16.234396
     0.152730 -16.232458   0.152081 -16.235010
     0.152732 -16.232708   0.152087 -16.235624
     0.152734 -16.232959   0.152093 -16.236237
     0.152737 -16.233209   0.152099 -16.236848
     0.152739 -16.233458   0.152105 -16.237459
     0.152742 -16.233707   0.152111 -16.238069
     0.152744 -16.233956   0.152118 -16.238678
     0.152747 -16.234204   0.152124 -16.239285
     0.152750 -16.234452   0.152131 -16.239891
     0.152753 -16.234699   0.152138 -16.240496
     0.152756 -16.234945   0.152145 -16.241099
     0.152759 -16.235191   0.152153 -16.241700
     0.152762 -16.235436   0.152160 -16.242300
     0.152765 -16.235680   0.152168 -16.242898
     0.152768 -16.235924   0.152176 -16.243494
     0.152771 -16.236166   0.152184 -16.244088
     0.152775 -16.236408   0.152192 -16.244679
     0.152778 -16.236649   0.152200 -16.245269
     0.152781 -16.236889   0.152208 -16.245856
     0.152785 -16.237128   0.152217 -16.246441
     0.152789 -16.237366   0.152226 -16.247023
     0.152792 -16.237603   0.152234 -16.247603
     0.152796 -16.237839   0.152244 -16.248180
     0.152800 -16.238073   0.152253 -16.248755
     0.152803 -16.238307   0.152262 -16.249326
     0.152807 -16.238539   0.152271 -16.249895
     0.152811 -16.238770   0.152281 -16.250460
     0.152815 -16.239000   0.152291 -16.251023
