#rho0,E/A
1.573898584958581814e-01,-1.576592290279149999e+01
1.568400282947302604e-01,-1.572426948629709820e+01
1.566501960467612253e-01,-1.573675843546170228e+01
1.557948024745591520e-01,-1.576593509336026067e+01
1.560090404921449514e-01,-1.575083354879570408e+01
1.568531805919221311e-01,-1.575678997419167793e+01
1.554001510799854491e-01,-1.571923352258108153e+01
1.571958927005878692e-01,-1.575473094235441174e+01
1.563111257107941687e-01,-1.572258144956033021e+01
1.577146636060237639e-01,-1.581908375711982728e+01
1.558118477004451496e-01,-1.575544773968968748e+01
1.559496675078614336e-01,-1.574342931657740863e+01
1.571476369447875610e-01,-1.573321081187601678e+01
1.563550258549915584e-01,-1.573660746608287120e+01
1.571140448135853740e-01,-1.576454042083542006e+01
1.583695720403675566e-01,-1.574248098045648980e+01
1.566560771819480447e-01,-1.579759807097430624e+01
1.556261540652452147e-01,-1.575133886871593170e+01
1.556120470297095992e-01,-1.572698824889772240e+01
1.566898614086201513e-01,-1.573455965349104524e+01
1.554314359476362817e-01,-1.573863822497068021e+01
1.553829556381392252e-01,-1.573449846407568664e+01
1.578216829786928954e-01,-1.578856405687826481e+01
1.553014656668732230e-01,-1.570013186845474351e+01
1.551291291230665892e-01,-1.572479421441534164e+01
1.558920718066309496e-01,-1.573313615381387542e+01
1.572781627066991150e-01,-1.572923900663720609e+01
1.562042405094044573e-01,-1.571926679921005210e+01
1.568894450855768674e-01,-1.574148156031477086e+01
1.562536218800879007e-01,-1.576041845299339705e+01
1.552182390585329641e-01,-1.573543667600214491e+01
1.585473750792492642e-01,-1.578237618277886156e+01
1.556692213557792359e-01,-1.571806324802059329e+01
1.550703509394536772e-01,-1.576329399296247935e+01
1.554974089440831486e-01,-1.572599643157662896e+01
1.587837081224587610e-01,-1.579719721516240405e+01
1.558053566090419340e-01,-1.570099622536701922e+01
1.560968708480424405e-01,-1.577888851111478452e+01
1.568341562408036016e-01,-1.577359451261658130e+01
1.574630256981126852e-01,-1.574509641519655112e+01
1.561493788818474060e-01,-1.576578568579201978e+01
1.553134430792066922e-01,-1.573238210606181298e+01
1.568481995142114449e-01,-1.579393052233709760e+01
1.554381565380151264e-01,-1.573630134327594732e+01
1.561804145547043832e-01,-1.571308062660271432e+01
1.575721466434589213e-01,-1.575452542569227177e+01
1.554156476466579118e-01,-1.571967450841339442e+01
1.556985136941352599e-01,-1.572674765464955904e+01
1.554275954181973118e-01,-1.573824627153043743e+01
1.562826050216986895e-01,-1.578353380238510084e+01
1.559993641271610887e-01,-1.572122827337722839e+01
1.558407332764653597e-01,-1.573370161588139915e+01
1.556811755207818115e-01,-1.576179304085160204e+01
