#    <A>=  0.150609  sigmaA= 0.000690
#    <B>=-16.280374  sigmaB= 0.020707
#  rhoAB= -0.286052
#    a39=  0.000661     b39=  0.020708
#    a95=  0.001619     b95=  0.050683
#  tht39=  0.546922   tht95=  0.546922
#
#       A39       B39         A95       B95
     0.150346 -16.259772   0.149966 -16.229951
     0.150338 -16.259800   0.149946 -16.230019
     0.150330 -16.259831   0.149926 -16.230095
     0.150322 -16.259866   0.149907 -16.230179
     0.150315 -16.259903   0.149888 -16.230271
     0.150307 -16.259944   0.149869 -16.230371
     0.150299 -16.259988   0.149850 -16.230479
     0.150291 -16.260035   0.149831 -16.230594
     0.150284 -16.260086   0.149812 -16.230718
     0.150276 -16.260139   0.149793 -16.230849
     0.150268 -16.260196   0.149775 -16.230988
     0.150261 -16.260256   0.149756 -16.231135
     0.150253 -16.260319   0.149738 -16.231290
     0.150246 -16.260386   0.149720 -16.231452
     0.150239 -16.260455   0.149702 -16.231623
     0.150231 -16.260528   0.149684 -16.231800
     0.150224 -16.260604   0.149667 -16.231986
     0.150217 -16.260683   0.149649 -16.232179
     0.150210 -16.260765   0.149632 -16.232380
     0.150203 -16.260850   0.149614 -16.232588
     0.150196 -16.260938   0.149597 -16.232804
     0.150189 -16.261029   0.149580 -16.233028
     0.150182 -16.261124   0.149564 -16.233259
     0.150175 -16.261221   0.149547 -16.233497
     0.150169 -16.261321   0.149531 -16.233743
     0.150162 -16.261425   0.149514 -16.233996
     0.150155 -16.261531   0.149498 -16.234256
     0.150149 -16.261641   0.149482 -16.234524
     0.150142 -16.261753   0.149467 -16.234799
     0.150136 -16.261868   0.149451 -16.235081
     0.150130 -16.261986   0.149436 -16.235370
     0.150124 -16.262108   0.149421 -16.235667
     0.150117 -16.262232   0.149406 -16.235970
     0.150111 -16.262358   0.149391 -16.236281
     0.150105 -16.262488   0.149376 -16.236598
     0.150100 -16.262621   0.149362 -16.236922
     0.150094 -16.262756   0.149347 -16.237254
     0.150088 -16.262894   0.149333 -16.237592
     0.150082 -16.263035   0.149320 -16.237936
     0.150077 -16.263179   0.149306 -16.238288
     0.150071 -16.263325   0.149293 -16.238646
     0.150066 -16.263474   0.149279 -16.239011
     0.150061 -16.263626   0.149266 -16.239382
     0.150055 -16.263780   0.149254 -16.239760
     0.150050 -16.263937   0.149241 -16.240144
     0.150045 -16.264096   0.149229 -16.240534
     0.150040 -16.264259   0.149217 -16.240931
     0.150035 -16.264423   0.149205 -16.241334
     0.150031 -16.264590   0.149193 -16.241743
     0.150026 -16.264760   0.149182 -16.242159
     0.150021 -16.264932   0.149170 -16.242580
     0.150017 -16.265107   0.149159 -16.243007
     0.150012 -16.265284   0.149149 -16.243440
     0.150008 -16.265463   0.149138 -16.243879
     0.150004 -16.265645   0.149128 -16.244324
     0.150000 -16.265829   0.149118 -16.244775
     0.149996 -16.266015   0.149108 -16.245231
     0.149992 -16.266204   0.149098 -16.245692
     0.149988 -16.266395   0.149089 -16.246160
     0.149984 -16.266588   0.149080 -16.246632
     0.149981 -16.266783   0.149071 -16.247110
     0.149977 -16.266980   0.149062 -16.247593
     0.149974 -16.267180   0.149054 -16.248081
     0.149970 -16.267382   0.149046 -16.248575
     0.149967 -16.267585   0.149038 -16.249073
     0.149964 -16.267791   0.149030 -16.249576
     0.149961 -16.267998   0.149023 -16.250085
     0.149958 -16.268208   0.149015 -16.250598
     0.149955 -16.268420   0.149008 -16.251115
     0.149953 -16.268633   0.149002 -16.251638
     0.149950 -16.268848   0.148995 -16.252164
     0.149947 -16.269065   0.148989 -16.252696
     0.149945 -16.269284   0.148983 -16.253231
     0.149943 -16.269505   0.148978 -16.253771
     0.149940 -16.269727   0.148972 -16.254315
     0.149938 -16.269951   0.148967 -16.254864
     0.149936 -16.270177   0.148962 -16.255416
     0.149935 -16.270404   0.148958 -16.255972
     0.149933 -16.270633   0.148953 -16.256532
     0.149931 -16.270863   0.148949 -16.257096
     0.149930 -16.271095   0.148945 -16.257664
     0.149928 -16.271329   0.148942 -16.258235
     0.149927 -16.271563   0.148939 -16.258810
     0.149925 -16.271799   0.148936 -16.259388
     0.149924 -16.272037   0.148933 -16.259969
     0.149923 -16.272276   0.148930 -16.260553
     0.149922 -16.272516   0.148928 -16.261141
     0.149922 -16.272757   0.148926 -16.261732
     0.149921 -16.273000   0.148924 -16.262326
     0.149920 -16.273244   0.148923 -16.262922
     0.149920 -16.273488   0.148922 -16.263521
     0.149919 -16.273734   0.148921 -16.264123
     0.149919 -16.273981   0.148920 -16.264728
     0.149919 -16.274229   0.148920 -16.265335
     0.149919 -16.274478   0.148920 -16.265944
     0.149919 -16.274728   0.148920 -16.266556
     0.149919 -16.274979   0.148920 -16.267170
     0.149920 -16.275231   0.148921 -16.267785
     0.149920 -16.275483   0.148922 -16.268403
     0.149920 -16.275736   0.148923 -16.269023
     0.149921 -16.275990   0.148925 -16.269645
     0.149922 -16.276245   0.148927 -16.270268
     0.149923 -16.276500   0.148929 -16.270893
     0.149924 -16.276756   0.148931 -16.271519
     0.149925 -16.277013   0.148933 -16.272147
     0.149926 -16.277270   0.148936 -16.272776
