#    <A>=  0.154253  sigmaA= 0.000501
#    <B>=-16.223509  sigmaB= 0.019999
#  rhoAB= -0.291583
#    a39=  0.000480     b39=  0.020000
#    a95=  0.001174     b95=  0.048949
#  tht39=  0.418999   tht95=  0.418999
#
#       A39       B39         A95       B95
     0.154733 -16.223506   0.155427 -16.223501
     0.154731 -16.223254   0.155422 -16.222885
     0.154729 -16.223003   0.155417 -16.222270
     0.154727 -16.222752   0.155412 -16.221656
     0.154725 -16.222501   0.155407 -16.221041
     0.154723 -16.222250   0.155402 -16.220427
     0.154720 -16.221999   0.155396 -16.219813
     0.154718 -16.221749   0.155391 -16.219200
     0.154716 -16.221499   0.155385 -16.218588
     0.154713 -16.221249   0.155379 -16.217977
     0.154711 -16.220999   0.155373 -16.217366
     0.154708 -16.220750   0.155366 -16.216756
     0.154705 -16.220501   0.155360 -16.216147
     0.154702 -16.220253   0.155353 -16.215540
     0.154700 -16.220005   0.155346 -16.214934
     0.154697 -16.219758   0.155339 -16.214329
     0.154694 -16.219512   0.155332 -16.213725
     0.154691 -16.219266   0.155324 -16.213123
     0.154688 -16.219021   0.155317 -16.212523
     0.154684 -16.218776   0.155309 -16.211925
     0.154681 -16.218532   0.155301 -16.211328
     0.154678 -16.218289   0.155293 -16.210733
     0.154675 -16.218047   0.155284 -16.210140
     0.154671 -16.217806   0.155276 -16.209550
     0.154668 -16.217565   0.155267 -16.208961
     0.154664 -16.217326   0.155259 -16.208375
     0.154660 -16.217087   0.155250 -16.207792
     0.154657 -16.216850   0.155241 -16.207210
     0.154653 -16.216613   0.155231 -16.206632
     0.154649 -16.216378   0.155222 -16.206056
     0.154645 -16.216144   0.155213 -16.205482
     0.154641 -16.215911   0.155203 -16.204912
     0.154637 -16.215679   0.155193 -16.204344
     0.154633 -16.215448   0.155183 -16.203780
     0.154629 -16.215219   0.155173 -16.203219
     0.154625 -16.214991   0.155163 -16.202660
     0.154620 -16.214764   0.155152 -16.202106
     0.154616 -16.214539   0.155142 -16.201554
     0.154612 -16.214315   0.155131 -16.201006
     0.154607 -16.214092   0.155120 -16.200462
     0.154603 -16.213871   0.155109 -16.199921
     0.154598 -16.213652   0.155098 -16.199384
     0.154594 -16.213434   0.155087 -16.198850
     0.154589 -16.213218   0.155075 -16.198321
     0.154584 -16.213003   0.155064 -16.197796
     0.154580 -16.212790   0.155052 -16.197274
     0.154575 -16.212579   0.155040 -16.196757
     0.154570 -16.212369   0.155029 -16.196244
     0.154565 -16.212161   0.155017 -16.195735
     0.154560 -16.211955   0.155004 -16.195231
     0.154555 -16.211751   0.154992 -16.194731
     0.154550 -16.211549   0.154980 -16.194236
     0.154545 -16.211348   0.154967 -16.193745
     0.154540 -16.211150   0.154955 -16.193259
     0.154535 -16.210953   0.154942 -16.192778
     0.154529 -16.210759   0.154929 -16.192302
     0.154524 -16.210566   0.154916 -16.191831
     0.154519 -16.210375   0.154903 -16.191364
     0.154513 -16.210187   0.154890 -16.190903
     0.154508 -16.210000   0.154877 -16.190447
     0.154503 -16.209816   0.154864 -16.189996
     0.154497 -16.209634   0.154850 -16.189550
     0.154492 -16.209454   0.154837 -16.189110
     0.154486 -16.209277   0.154823 -16.188675
     0.154480 -16.209101   0.154809 -16.188246
     0.154475 -16.208928   0.154796 -16.187822
     0.154469 -16.208757   0.154782 -16.187404
     0.154463 -16.208589   0.154768 -16.186991
     0.154458 -16.208422   0.154754 -16.186585
     0.154452 -16.208259   0.154740 -16.186184
     0.154446 -16.208097   0.154725 -16.185789
     0.154440 -16.207938   0.154711 -16.185400
     0.154434 -16.207782   0.154697 -16.185017
     0.154429 -16.207628   0.154682 -16.184640
