label,mean rho0,mean E/A,sigma rho0,sigma E/A,rho
SV-min,0.16108,-15.91,0.00119302,0.0332045,0.18714
TOV-min,0.161110997,-15.9396,0.0017080009,0.0276002884,-0.18737876080281884
