# Gandolfi (G) et al., https://arxiv.org/abs/1101.1921
# extracted from Lattimer et al., https://arxiv.org/abs/1203.4286 and https://arxiv.org/abs/1403.1186 
# see also Drischler et al., https://arxiv.org/abs/2004.07232
31.73822,37.97357
34.18848,53.30396
34.18848,60.35242
33.60209,59.64758
31.96859,47.31278
31.19372,41.49780
31.19372,37.44493
