# nuclear saturation points for RMF models
# data from Table VI in https://arxiv.org/abs/1405.3633v2
label,rho0,E/A
BKA22,0.147,-15.91
BKA24,0.147,-15.95
BSR11,0.147,-16.08
BSR12,0.147,-16.10
Z271v5,0.148,-16.24
Z271v6,0.148,-16.24
