#    <A>=  0.151283  sigmaA= 0.000500
#    <B>=-16.291130  sigmaB= 0.020412
#  rhoAB= -0.441672
#    a39=  0.000449     b39=  0.020413
#    a95=  0.001098     b95=  0.049962
#  tht39=  0.620087   tht95=  0.620087
#
#       A39       B39         A95       B95
     0.151731 -16.291125   0.152381 -16.291118
     0.151729 -16.290869   0.152374 -16.290490
     0.151726 -16.290612   0.152367 -16.289863
     0.151723 -16.290356   0.152359 -16.289235
     0.151720 -16.290100   0.152352 -16.288608
     0.151717 -16.289844   0.152344 -16.287981
     0.151713 -16.289588   0.152337 -16.287355
     0.151710 -16.289332   0.152329 -16.286729
     0.151707 -16.289077   0.152321 -16.286104
     0.151704 -16.288822   0.152313 -16.285480
     0.151700 -16.288567   0.152304 -16.284857
     0.151697 -16.288313   0.152296 -16.284235
     0.151693 -16.288059   0.152287 -16.283613
     0.151689 -16.287806   0.152278 -16.282993
     0.151686 -16.287553   0.152269 -16.282375
     0.151682 -16.287301   0.152260 -16.281757
     0.151678 -16.287049   0.152250 -16.281141
     0.151674 -16.286798   0.152241 -16.280527
     0.151670 -16.286548   0.152231 -16.279914
     0.151666 -16.286298   0.152222 -16.279303
     0.151662 -16.286049   0.152212 -16.278694
     0.151658 -16.285801   0.152202 -16.278087
     0.151654 -16.285554   0.152191 -16.277482
     0.151650 -16.285308   0.152181 -16.276880
     0.151646 -16.285062   0.152170 -16.276279
     0.151641 -16.284818   0.152160 -16.275681
     0.151637 -16.284574   0.152149 -16.275085
     0.151632 -16.284332   0.152138 -16.274492
     0.151628 -16.284091   0.152127 -16.273901
     0.151623 -16.283850   0.152116 -16.273313
     0.151619 -16.283611   0.152104 -16.272728
     0.151614 -16.283374   0.152093 -16.272146
     0.151609 -16.283137   0.152081 -16.271567
     0.151604 -16.282902   0.152070 -16.270991
     0.151600 -16.282667   0.152058 -16.270418
     0.151595 -16.282435   0.152046 -16.269848
     0.151590 -16.282203   0.152034 -16.269282
     0.151585 -16.281973   0.152022 -16.268719
     0.151580 -16.281745   0.152009 -16.268160
     0.151575 -16.281518   0.151997 -16.267604
     0.151569 -16.281292   0.151984 -16.267052
     0.151564 -16.281068   0.151972 -16.266504
     0.151559 -16.280846   0.151959 -16.265959
     0.151554 -16.280625   0.151946 -16.265419
     0.151549 -16.280406   0.151933 -16.264883
     0.151543 -16.280189   0.151920 -16.264351
     0.151538 -16.279973   0.151907 -16.263823
     0.151532 -16.279759   0.151894 -16.263299
     0.151527 -16.279547   0.151880 -16.262780
     0.151521 -16.279337   0.151867 -16.262266
     0.151516 -16.279128   0.151853 -16.261755
     0.151510 -16.278922   0.151839 -16.261250
     0.151505 -16.278717   0.151826 -16.260749
     0.151499 -16.278514   0.151812 -16.260253
     0.151493 -16.278314   0.151798 -16.259762
     0.151488 -16.278115   0.151784 -16.259276
     0.151482 -16.277919   0.151770 -16.258795
     0.151476 -16.277724   0.151756 -16.258319
     0.151470 -16.277532   0.151742 -16.257848
     0.151464 -16.277342   0.151727 -16.257383
     0.151459 -16.277154   0.151713 -16.256922
     0.151453 -16.276968   0.151698 -16.256468
     0.151447 -16.276784   0.151684 -16.256018
     0.151441 -16.276603   0.151669 -16.255574
     0.151435 -16.276424   0.151655 -16.255136
     0.151429 -16.276247   0.151640 -16.254704
     0.151423 -16.276073   0.151625 -16.254277
     0.151417 -16.275901   0.151611 -16.253856
     0.151411 -16.275731   0.151596 -16.253441
     0.151405 -16.275564   0.151581 -16.253032
     0.151399 -16.275399   0.151566 -16.252629
     0.151392 -16.275237   0.151551 -16.252232
     0.151386 -16.275077   0.151536 -16.251841
     0.151380 -16.274920   0.151521 -16.251456
     0.151374 -16.274766   0.151506 -16.251078
     0.151368 -16.274614   0.151491 -16.250706
     0.151362 -16.274464   0.151475 -16.250340
     0.151355 -16.274317   0.151460 -16.249981
     0.151349 -16.274173   0.151445 -16.249628
     0.151343 -16.274032   0.151430 -16.249282
     0.151337 -16.273893   0.151415 -16.248942
     0.151330 -16.273757   0.151399 -16.248609
     0.151324 -16.273624   0.151384 -16.248283
     0.151318 -16.273493   0.151369 -16.247964
     0.151312 -16.273365   0.151353 -16.247651
     0.151305 -16.273240   0.151338 -16.247345
     0.151299 -16.273118   0.151323 -16.247046
     0.151293 -16.272999   0.151307 -16.246754
     0.151287 -16.272883   0.151292 -16.246470
     0.151280 -16.272769   0.151276 -16.246192
     0.151274 -16.272659   0.151261 -16.245921
     0.151268 -16.272551   0.151246 -16.245657
     0.151261 -16.272446   0.151230 -16.245401
